recordedAt,subjectId,subjectName,category,action,quantity,unit,occurredAt,durationSeconds,deviceId,deviceName,context,sourceEndpoint,attribution
2026-06-19T17:08:30+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-19T17:08:30+00:00,83,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T17:27:31+00:00,cat-pascal,Pascal,feeding,food_change,7.0,g,2026-06-19T17:27:31+00:00,112,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T17:41:20+00:00,cat-joule,Joule,feeding,food_change,10.0,g,2026-06-19T17:41:20+00:00,282,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-19T17:44:32+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-19T17:44:32+00:00,95,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T22:23:18+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-19T22:23:18+00:00,104,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-19T22:26:19+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-19T22:26:19+00:00,240,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T00:11:04+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-20T00:11:04+00:00,233,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T01:54:38+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-20T01:54:38+00:00,83,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T02:20:43+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-20T02:20:43+00:00,185,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T02:52:17+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-20T02:52:17+00:00,172,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T03:16:37+00:00,cat-joule,Joule,feeding,food_change,5.0,g,2026-06-20T03:16:37+00:00,223,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T04:44:55+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-20T04:44:55+00:00,95,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T05:16:28+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-20T05:16:28+00:00,110,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T06:28:30+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-20T06:28:30+00:00,90,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T07:22:38+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-20T07:22:38+00:00,67,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T11:32:18+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-20T11:32:18+00:00,117,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T11:44:01+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-20T11:44:01+00:00,97,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T12:56:36+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-20T12:56:36+00:00,157,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T13:11:44+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-20T13:11:44+00:00,78,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T13:30:18+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-20T13:30:18+00:00,129,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T14:22:35+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-20T14:22:35+00:00,124,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T16:40:24+00:00,cat-pascal,Pascal,feeding,food_change,1.0,g,2026-06-20T16:40:24+00:00,5,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-20T16:42:29+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-20T16:42:29+00:00,110,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T17:03:22+00:00,cat-joule,Joule,feeding,food_change,10.0,g,2026-06-20T17:03:22+00:00,398,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T17:06:58+00:00,cat-joule,Joule,feeding,food_change,73.0,g,2026-06-20T17:06:58+00:00,4,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-20T17:06:59+00:00,cat-pascal,Pascal,feeding,food_change,57.0,g,2026-06-20T17:06:59+00:00,7,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-20T17:07:42+00:00,cat-joule,Joule,feeding,food_change,74.0,g,2026-06-20T17:07:42+00:00,3,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-20T17:07:42+00:00,cat-pascal,Pascal,feeding,food_change,74.0,g,2026-06-20T17:07:42+00:00,3,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-20T17:21:47+00:00,cat-pascal,Pascal,feeding,food_change,10.0,g,2026-06-20T17:21:47+00:00,156,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T17:34:18+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-20T17:34:18+00:00,96,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-20T17:35:03+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-20T17:35:03+00:00,55,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-20T17:35:55+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-20T17:35:55+00:00,44,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T05:44:13+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-21T05:44:13+00:00,111,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-21T05:50:30+00:00,cat-joule,Joule,feeding,food_change,2.0,g,2026-06-21T05:50:30+00:00,64,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-21T05:56:54+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-21T05:56:54+00:00,98,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T06:33:58+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-21T06:33:58+00:00,87,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-21T06:42:07+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-21T06:42:07+00:00,115,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T08:19:59+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-21T08:19:59+00:00,80,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-21T08:53:09+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-21T08:53:09+00:00,133,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T09:14:41+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-21T09:14:41+00:00,144,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T11:18:16+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-21T11:18:16+00:00,84,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T13:00:09+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-21T13:00:09+00:00,148,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T17:20:43+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-21T17:20:43+00:00,142,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-21T23:02:05+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-21T23:02:05+00:00,89,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T00:38:36+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-22T00:38:36+00:00,150,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T01:58:32+00:00,cat-pascal,Pascal,feeding,food_change,16.0,g,2026-06-22T01:58:32+00:00,6,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-22T02:13:07+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-22T02:13:07+00:00,70,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T04:13:29+00:00,cat-joule,Joule,feeding,food_change,2.0,g,2026-06-22T04:13:29+00:00,65,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T04:26:35+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-22T04:26:35+00:00,87,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T07:08:50+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-22T07:08:50+00:00,96,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T07:43:51+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-22T07:43:51+00:00,36,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T07:45:03+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-22T07:45:03+00:00,58,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T07:55:52+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-22T07:55:52+00:00,115,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T11:05:18+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-22T11:05:18+00:00,192,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T11:50:52+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-22T11:50:52+00:00,84,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T15:05:24+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-22T15:05:24+00:00,108,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T15:15:56+00:00,cat-joule,Joule,feeding,food_change,5.0,g,2026-06-22T15:15:56+00:00,133,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T15:21:18+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-22T15:21:18+00:00,94,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T15:32:37+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-22T15:32:37+00:00,82,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T15:33:55+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-22T15:33:55+00:00,112,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T16:34:13+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-22T16:34:13+00:00,72,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T17:11:00+00:00,cat-pascal,Pascal,feeding,food_change,18.0,g,2026-06-22T17:11:00+00:00,4,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-22T17:17:08+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-22T17:17:08+00:00,115,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-22T17:36:03+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-22T17:36:03+00:00,98,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-22T19:44:32+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-22T19:44:32+00:00,73,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T04:37:44+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-23T04:37:44+00:00,134,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T04:54:06+00:00,cat-pascal,Pascal,feeding,food_change,8.0,g,2026-06-23T04:54:06+00:00,77,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T05:48:20+00:00,cat-joule,Joule,feeding,food_change,12.0,g,2026-06-23T05:48:20+00:00,210,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T10:50:58+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-23T10:50:58+00:00,83,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T10:51:48+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-23T10:51:48+00:00,38,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T11:35:26+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-23T11:35:26+00:00,115,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T11:37:29+00:00,cat-joule,Joule,feeding,food_change,8.0,g,2026-06-23T11:37:29+00:00,149,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T11:43:34+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-23T11:43:34+00:00,68,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T13:35:52+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-23T13:35:52+00:00,94,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T15:41:42+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-23T15:41:42+00:00,107,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T15:53:04+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-23T15:53:04+00:00,110,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T16:59:41+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-23T16:59:41+00:00,141,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T17:19:59+00:00,cat-joule,Joule,feeding,food_change,8.0,g,2026-06-23T17:19:59+00:00,201,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-23T17:21:42+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-23T17:21:42+00:00,124,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T19:20:42+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-23T19:20:42+00:00,112,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-23T23:13:13+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-23T23:13:13+00:00,205,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T01:57:28+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-24T01:57:28+00:00,75,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T03:51:48+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-24T03:51:48+00:00,203,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T04:00:27+00:00,cat-pascal,Pascal,feeding,food_change,46.0,g,2026-06-24T04:00:27+00:00,8,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-24T04:00:39+00:00,cat-joule,Joule,feeding,food_change,34.0,g,2026-06-24T04:00:39+00:00,2,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-24T05:17:48+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-24T05:17:48+00:00,174,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T05:37:44+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-24T05:37:44+00:00,177,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T07:06:16+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-24T07:06:16+00:00,155,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T07:09:38+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-24T07:09:38+00:00,48,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T10:59:25+00:00,cat-pascal,Pascal,feeding,food_change,8.0,g,2026-06-24T10:59:25+00:00,190,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T11:18:55+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-24T11:18:55+00:00,139,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T11:39:56+00:00,cat-joule,Joule,feeding,food_change,8.0,g,2026-06-24T11:39:56+00:00,131,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T12:59:43+00:00,cat-pascal,Pascal,feeding,food_change,7.0,g,2026-06-24T12:59:43+00:00,202,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T14:08:48+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-24T14:08:48+00:00,136,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T17:01:27+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-24T17:01:27+00:00,75,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T17:37:08+00:00,cat-pascal,Pascal,feeding,food_change,25.0,g,2026-06-24T17:37:08+00:00,4,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-24T17:39:51+00:00,cat-pascal,Pascal,feeding,food_change,40.0,g,2026-06-24T17:39:51+00:00,135,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T19:02:07+00:00,cat-joule,Joule,feeding,food_change,46.0,g,2026-06-24T19:02:07+00:00,41,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-24T19:02:07+00:00,cat-pascal,Pascal,feeding,food_change,46.0,g,2026-06-24T19:02:07+00:00,41,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-24T19:02:09+00:00,cat-joule,Joule,feeding,food_change,50.0,g,2026-06-24T19:02:09+00:00,43,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-24T19:02:09+00:00,cat-pascal,Pascal,feeding,food_change,50.0,g,2026-06-24T19:02:09+00:00,43,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-24T19:02:36+00:00,cat-joule,Joule,feeding,food_change,40.0,g,2026-06-24T19:02:36+00:00,4,feeder-joule,Joule's feeder,5,/demo,food_addition
2026-06-24T19:08:42+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-24T19:08:42+00:00,143,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T21:55:07+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-24T21:55:07+00:00,106,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-24T22:29:59+00:00,cat-pascal,Pascal,feeding,food_change,6.0,g,2026-06-24T22:29:59+00:00,135,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-24T22:31:50+00:00,cat-joule,Joule,feeding,food_change,2.0,g,2026-06-24T22:31:50+00:00,70,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T02:54:58+00:00,cat-joule,Joule,feeding,food_change,10.0,g,2026-06-25T02:54:58+00:00,190,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T03:27:28+00:00,cat-joule,Joule,feeding,food_change,5.0,g,2026-06-25T03:27:28+00:00,121,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T04:36:28+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-25T04:36:28+00:00,134,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T05:01:46+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-25T05:01:46+00:00,80,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T05:19:35+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-25T05:19:35+00:00,143,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T06:38:39+00:00,cat-joule,Joule,feeding,food_change,8.0,g,2026-06-25T06:38:39+00:00,213,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T10:29:07+00:00,cat-pascal,Pascal,feeding,food_change,32.0,g,2026-06-25T10:29:07+00:00,152,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T11:39:03+00:00,cat-pascal,Pascal,feeding,food_change,7.0,g,2026-06-25T11:39:03+00:00,130,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T14:10:44+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-25T14:10:44+00:00,129,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T14:12:07+00:00,cat-joule,Joule,feeding,food_change,2.0,g,2026-06-25T14:12:07+00:00,68,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T14:24:35+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-25T14:24:35+00:00,101,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T15:01:15+00:00,cat-pascal,Pascal,feeding,food_change,2.0,g,2026-06-25T15:01:15+00:00,28,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T16:43:21+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-25T16:43:21+00:00,123,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T16:47:17+00:00,cat-joule,Joule,feeding,food_change,3.0,g,2026-06-25T16:47:17+00:00,89,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T16:54:53+00:00,cat-pascal,Pascal,feeding,food_change,40.0,g,2026-06-25T16:54:53+00:00,17,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-25T16:56:08+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-25T16:56:08+00:00,18,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T17:00:07+00:00,cat-pascal,Pascal,feeding,food_change,8.0,g,2026-06-25T17:00:07+00:00,121,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T17:08:40+00:00,cat-pascal,Pascal,feeding,food_change,1.0,g,2026-06-25T17:08:40+00:00,16,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T17:12:01+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-25T17:12:01+00:00,110,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T17:40:13+00:00,cat-joule,Joule,feeding,food_change,4.0,g,2026-06-25T17:40:13+00:00,81,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T17:55:23+00:00,cat-joule,Joule,feeding,food_change,2.0,g,2026-06-25T17:55:23+00:00,71,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T20:31:04+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-25T20:31:04+00:00,120,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T20:44:50+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-25T20:44:50+00:00,143,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-25T22:08:53+00:00,cat-joule,Joule,feeding,food_change,9.0,g,2026-06-25T22:08:53+00:00,167,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-25T22:13:32+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-25T22:13:32+00:00,109,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T00:42:11+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-26T00:42:11+00:00,163,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-26T01:02:22+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-26T01:02:22+00:00,194,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-26T05:29:10+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-26T05:29:10+00:00,122,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-26T10:56:54+00:00,cat-pascal,Pascal,feeding,food_change,5.0,g,2026-06-26T10:56:54+00:00,137,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T11:29:49+00:00,cat-pascal,Pascal,feeding,food_change,11.0,g,2026-06-26T11:29:49+00:00,153,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T11:44:39+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-26T11:44:39+00:00,148,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-26T12:40:25+00:00,cat-pascal,Pascal,feeding,food_change,4.0,g,2026-06-26T12:40:25+00:00,168,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T15:03:53+00:00,cat-joule,Joule,feeding,food_change,6.0,g,2026-06-26T15:03:53+00:00,164,feeder-joule,Joule's feeder,1,/demo,pet
2026-06-26T16:50:29+00:00,cat-pascal,Pascal,feeding,food_change,15.0,g,2026-06-26T16:50:29+00:00,23,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T16:53:02+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-26T16:53:02+00:00,97,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T17:09:18+00:00,cat-pascal,Pascal,feeding,food_change,33.0,g,2026-06-26T17:09:18+00:00,4,feeder-pascal,Pascal's feeder,5,/demo,food_addition
2026-06-26T17:11:08+00:00,cat-pascal,Pascal,feeding,food_change,3.0,g,2026-06-26T17:11:08+00:00,62,feeder-pascal,Pascal's feeder,1,/demo,pet
2026-06-26T17:16:51+00:00,cat-joule,Joule,feeding,food_change,7.0,g,2026-06-26T17:16:51+00:00,208,feeder-joule,Joule's feeder,1,/demo,pet
